Image,Method,Total_Detections,Avg_Conf,TP,FP,GT_Count
02860.png,ITFuse,2,0.8717062473297119,2,0,2
02869.png,ITFuse,3,0.7994644244511923,3,0,3
02896.png,ITFuse,4,0.44862113893032074,1,3,2
02956.png,ITFuse,11,0.5806162790818648,9,2,10
03019.png,ITFuse,8,0.6322497092187405,7,1,7
03045.png,ITFuse,9,0.5760975148942735,7,2,8
03100.png,ITFuse,3,0.8859908978144327,3,0,3
03109.png,ITFuse,5,0.6650961995124817,5,0,7
03143.png,ITFuse,4,0.7706764489412308,4,0,5
03173.png,ITFuse,4,0.5903413072228432,3,1,34
03219.png,ITFuse,15,0.477545024951299,9,6,10
03260.png,ITFuse,7,0.7382583958762032,7,0,10
03281.png,ITFuse,5,0.5541951894760132,5,0,5
03289.png,ITFuse,8,0.584568127989769,6,2,9
03354.png,ITFuse,4,0.5907448008656502,4,0,5
03375.png,ITFuse,5,0.5894294559955597,5,0,5
03381.png,ITFuse,15,0.5507234831651052,13,2,13
03409.png,ITFuse,9,0.6775878634717729,9,0,9
03417.png,ITFuse,6,0.5670220057169596,6,0,6
03433.png,ITFuse,6,0.8207596838474274,6,0,6
03438.png,ITFuse,10,0.5542623549699783,8,2,9
03462.png,ITFuse,8,0.6286705508828163,6,2,6
03473.png,ITFuse,10,0.6068183571100235,8,2,8
03575.png,ITFuse,16,0.640655355527997,14,2,15
03589.png,ITFuse,9,0.6256652209493849,9,0,9
03600.png,ITFuse,10,0.6404243409633636,9,1,9
03640.png,ITFuse,11,0.4981252361427654,7,4,8
03708.png,ITFuse,7,0.5377107007162911,5,2,7
03719.png,ITFuse,3,0.6775440772374471,2,1,2
03769.png,ITFuse,8,0.7893753312528133,8,0,8
03813.png,ITFuse,5,0.7920814871788024,5,0,5
03836.png,ITFuse,7,0.6406200357845852,6,1,6
03878.png,ITFuse,6,0.7068123271067938,6,0,6
03989.png,ITFuse,12,0.596278411646684,10,2,12
04006.png,ITFuse,3,0.624431848526001,2,1,2
04018.png,ITFuse,3,0.6256243884563446,2,1,2
04026.png,ITFuse,2,0.7716598510742188,2,0,2
04053.png,ITFuse,6,0.761692464351654,6,0,6
04092.png,ITFuse,5,0.7625259518623352,4,1,4
04160.png,ITFuse,9,0.7335109644465976,8,1,8
00000.png,MAEFuse,10,0.6733229458332062,9,1,9
00011.png,MAEFuse,11,0.688361482186751,9,2,9
00025.png,MAEFuse,8,0.5597263760864735,6,2,7
00031.png,MAEFuse,10,0.6315910995006562,8,2,8
00033.png,MAEFuse,11,0.6667814525690946,9,2,10
00042.png,MAEFuse,8,0.6284599341452122,6,2,7
00061.png,MAEFuse,7,0.48708767550332205,5,2,5
00071.png,MAEFuse,5,0.41982042193412783,3,2,3
00082.png,MAEFuse,4,0.6071232855319977,3,1,3
00097.png,MAEFuse,1,0.6298459768295288,1,0,2
00107.png,MAEFuse,4,0.47793276607990265,2,2,3
00112.png,MAEFuse,14,0.5831957544599261,13,1,14
00118.png,MAEFuse,14,0.45356584659644533,9,5,9
00147.png,MAEFuse,16,0.5733812842518091,15,1,16
00149.png,MAEFuse,7,0.6876685959952218,6,1,6
00150.png,MAEFuse,9,0.632839752568139,8,1,8
00159.png,MAEFuse,9,0.719575822353363,8,1,8
00177.png,MAEFuse,10,0.693344098329544,10,0,10
00196.png,MAEFuse,10,0.5599828898906708,10,0,10
